Année;Cote_A;Cote_null;Cote_B;Nb_BM;Equipe_A;Equipe_B;Score_A;Score_B
2022-2023;5.25;4.22;1.64;16;Rennes;Paris SG;1;0
2022-2023;1.40;4.73;8.75;16;Monaco;AC Ajaccio;7;1
2022-2023;2.39;3.35;3.11;16;Angers;Clermont;1;2
2022-2023;2.48;3.29;3.02;16;Montpellier;Nantes;0;3
2022-2023;2.52;3.25;2.98;16;Reims;Nice;0;0
2022-2023;1.86;3.70;4.32;16;Toulouse;Brest;1;1
2022-2023;1.48;4.54;7.11;16;Lille;Troyes;5;1
2022-2023;1.61;4.17;5.53;16;Lyon;Strasbourg;1;2
2022-2023;1.43;4.91;7.17;16;Marseille;Lorient;3;1
2022-2023;1.34;5.31;9.77;16;Lens;Auxerre;1;0
2022-2023;4.43;3.98;1.79;16;Lorient;Monaco;2;2
2022-2023;1.86;3.64;4.40;16;Nice;Montpellier;6;1
2022-2023;1.19;7.85;15.38;16;Paris SG;Angers;2;0
2022-2023;3.85;3.35;2.09;16;Strasbourg;Lens;2;2
2022-2023;5.27;4.01;1.67;16;Troyes;Marseille;0;2
2022-2023;3.36;3.13;2.37;16;AC Ajaccio;Reims;0;1
2022-2023;3.02;3.37;2.44;16;Auxerre;Toulouse;0;5
2022-2023;4.42;3.72;1.84;16;Brest;Lille;0;0
2022-2023;4.16;3.45;1.97;16;Clermont;Rennes;2;1
2022-2023;3.74;3.59;2.03;16;Nantes;Lyon;0;0
2022-2023;1.88;3.69;4.30;16;Rennes;Nice;2;1
2022-2023;5.27;4.14;1.65;16;Montpellier;Marseille;1;2
2022-2023;1.64;4.09;5.44;16;Lille;Reims;1;1
2022-2023;1.90;3.71;4.10;16;Strasbourg;Troyes;2;3
2022-2023;3.72;3.56;2.05;16;Lens;Paris SG;3;1
2022-2023;1.57;4.37;5.81;16;Lyon;Clermont;0;1
2022-2023;2.57;3.39;2.81;16;Angers;Lorient;1;2
2022-2023;1.51;4.69;6.04;16;Monaco;Brest;1;0
2022-2023;1.89;3.47;4.52;16;Nantes;Auxerre;1;0
2022-2023;2.13;3.39;3.62;16;Toulouse;AC Ajaccio;2;0
2022-2023;1.41;5.25;7.29;16;Marseille;Toulouse;6;1
2022-2023;3.06;3.15;2.55;16;Nice;Lens;0;0
2022-2023;3.23;3.42;2.30;16;Reims;Rennes;3;1
2022-2023;1.91;3.79;3.96;16;Lorient;Montpellier;0;2
2022-2023;3.31;3.59;2.18;16;Brest;Lyon;2;4
2022-2023;1.21;7.09;13.48;16;Paris SG;Strasbourg;2;1
2022-2023;4.40;3.58;1.87;16;Clermont;Lille;0;2
2022-2023;4.86;4.12;1.69;16;Auxerre;Monaco;2;3
2022-2023;2.25;3.34;3.37;16;AC Ajaccio;Angers;1;0
2022-2023;2.72;3.46;2.58;16;Troyes;Nantes;0;0
2022-2023;2.36;3.56;3.01;15;Monaco;Marseille;2;3
2022-2023;2.38;3.41;3.06;15;Strasbourg;Lorient;1;1
2022-2023;2.11;3.59;3.46;15;Brest;Troyes;2;1
2022-2023;1.28;5.98;10.80;15;Lille;Angers;1;0
2022-2023;2.79;3.33;2.62;15;Montpellier;Reims;1;1
2022-2023;2.13;3.19;3.88;15;Nantes;AC Ajaccio;2;2
2022-2023;1.12;10.35;19.51;15;Paris SG;Auxerre;5;0
2022-2023;1.60;4.38;5.40;15;Rennes;Toulouse;2;1
2022-2023;1.47;4.53;7.26;15;Lens;Clermont;2;1
2022-2023;1.76;3.81;4.83;15;Lyon;Nice;1;1
2022-2023;2.13;3.59;3.47;15;Marseille;Lyon;1;0
2022-2023;2.10;3.54;3.58;15;Lille;Rennes;1;1
2022-2023;2.47;3.45;2.87;15;Clermont;Montpellier;1;1
2022-2023;1.85;3.72;4.32;15;Nice;Brest;1;0
2022-2023;2.18;3.47;3.40;15;Reims;Nantes;1;0
2022-2023;3.11;3.80;2.20;15;Toulouse;Monaco;0;2
2022-2023;8.43;5.69;1.34;15;Lorient;Paris SG;1;2
2022-2023;5.62;3.99;1.63;15;Angers;Lens;1;2
2022-2023;3.09;3.08;2.55;15;AC Ajaccio;Strasbourg;4;2
2022-2023;2.06;3.55;3.67;15;Troyes;Auxerre;1;1
2022-2023;2.00;3.79;3.66;15;Lyon;Lille;1;0
2022-2023;2.65;3.25;2.76;15;Lorient;Nice;1;2
2022-2023;2.75;3.39;2.58;15;Brest;Reims;0;0
2022-2023;1.45;4.96;6.70;15;Monaco;Angers;2;0
2022-2023;1.97;3.66;3.87;15;Nantes;Clermont;1;1
2022-2023;1.37;5.48;8.15;15;Rennes;Montpellier;3;0
2022-2023;2.74;3.09;2.86;15;Auxerre;AC Ajaccio;1;0
2022-2023;3.52;3.51;2.12;15;Strasbourg;Marseille;2;2
2022-2023;1.10;11.92;25.08;15;Paris SG;Troyes;4;3
2022-2023;1.69;4.12;4.89;15;Lens;Toulouse;3;0
2022-2023;2.50;3.64;2.78;15;Lille;Monaco;4;3
2022-2023;2.06;3.38;3.78;15;Nice;Nantes;1;1
2022-2023;2.14;3.48;3.52;15;Clermont;Brest;1;3
2022-2023;1.88;3.66;4.25;15;Reims;Auxerre;2;1
2022-2023;2.24;3.55;3.21;15;Toulouse;Strasbourg;2;2
2022-2023;2.50;3.40;2.86;15;Troyes;Lorient;2;2
2022-2023;5.30;4.33;1.61;15;Angers;Rennes;1;2
2022-2023;2.22;3.46;3.37;15;Marseille;Lens;0;1
2022-2023;3.77;3.73;1.98;15;Montpellier;Lyon;1;2
2022-2023;11.63;5.82;1.28;15;AC Ajaccio;Paris SG;0;3
2022-2023;1.43;5.09;7.05;15;Paris SG;Marseille;1;0
2022-2023;1.36;5.45;8.21;15;Monaco;Clermont;1;1
2022-2023;3.63;3.47;2.10;15;Auxerre;Nice;1;1
2022-2023;2.22;3.40;3.37;15;Nantes;Brest;4;1
2022-2023;2.17;3.71;3.24;15;Rennes;Lyon;3;2
2022-2023;2.26;3.13;3.57;15;Troyes;AC Ajaccio;1;1
2022-2023;1.85;3.92;4.04;15;Toulouse;Angers;3;2
2022-2023;1.47;4.76;6.86;15;Lens;Montpellier;1;0
2022-2023;2.38;3.36;3.06;15;Lorient;Reims;0;0
2022-2023;3.24;3.41;2.25;15;Strasbourg;Lille;0;3
2022-2023;2.69;3.39;2.70;15;Lille;Lens;1;0
2022-2023;1.50;4.44;6.41;15;Rennes;Nantes;3;0
2022-2023;2.72;3.36;2.67;15;Angers;Strasbourg;2;3
2022-2023;2.31;3.45;3.16;15;Brest;Lorient;1;2
2022-2023;2.25;3.32;3.40;15;Clermont;Auxerre;2;1
2022-2023;1.85;3.49;4.67;15;Nice;Troyes;3;2
2022-2023;4.14;4.13;1.81;15;Montpellier;Monaco;0;2
2022-2023;8.61;5.61;1.34;15;Reims;Paris SG;0;0
2022-2023;1.52;4.12;7.22;15;Marseille;AC Ajaccio;1;2
2022-2023;1.45;5.11;6.46;15;Lyon;Toulouse;1;1
2022-2023;2.33;3.66;2.99;15;Lens;Lyon;1;0
2022-2023;1.44;5.02;6.81;15;Monaco;Nantes;4;1
2022-2023;2.48;3.03;3.25;15;AC Ajaccio;Clermont;1;3
2022-2023;3.18;3.30;2.36;15;Auxerre;Brest;1;1
2022-2023;1.98;3.84;3.60;15;Toulouse;Montpellier;4;2
2022-2023;2.71;3.27;2.74;15;Troyes;Reims;2;2
2022-2023;3.05;3.54;2.33;15;Lorient;Lille;2;1
2022-2023;1.22;7.17;12.37;15;Paris SG;Nice;2;1
2022-2023;3.32;3.53;2.19;15;Strasbourg;Rennes;1;3
2022-2023;4.44;3.86;1.80;15;Angers;Marseille;0;3
2022-2023;5.20;5.05;1.54;15;Lyon;Paris SG;0;1
2022-2023;3.63;3.67;2.03;15;Nantes;Lens;0;0
2022-2023;2.15;3.14;3.90;15;Brest;AC Ajaccio;0;1
2022-2023;2.35;3.31;3.21;15;Clermont;Troyes;1;3
2022-2023;2.06;3.55;3.70;15;Marseille;Rennes;1;1
2022-2023;1.67;4.02;5.21;15;Nice;Angers;0;1
2022-2023;3.26;3.57;2.21;15;Reims;Monaco;0;3
2022-2023;1.74;3.97;4.68;15;Lille;Toulouse;2;1
2022-2023;2.53;3.43;2.82;15;Montpellier;Strasbourg;2;1
2022-2023;2.75;3.38;2.61;15;Auxerre;Lorient;1;3
2022-2023;2.62;3.54;2.69;15;Monaco;Lyon;2;1
2022-2023;1.42;4.88;7.35;15;Rennes;Auxerre;5;0
2022-2023;3.39;3.04;2.40;15;AC Ajaccio;Nice;0;1
2022-2023;2.46;3.53;2.85;15;Angers;Montpellier;2;1
2022-2023;2.43;3.20;3.16;15;Lorient;Nantes;3;2
2022-2023;2.42;3.50;2.94;15;Toulouse;Reims;1;0
2022-2023;1.73;3.71;5.24;15;Strasbourg;Clermont;0;0
2022-2023;2.15;3.55;3.44;15;Marseille;Lille;2;1
2022-2023;1.09;12.23;24.90;15;Paris SG;Brest;1;0
2022-2023;1.51;4.65;6.15;15;Lens;Troyes;1;0
2022-2023;4.35;4.09;1.77;15;Lorient;Lyon;3;1
2022-2023;2.94;3.46;2.46;15;Nice;Monaco;0;1
2022-2023;3.98;3.87;1.87;15;Troyes;Rennes;1;1
2022-2023;2.45;3.12;3.20;15;AC Ajaccio;Lorient;0;1
2022-2023;2.55;3.33;2.87;15;Brest;Strasbourg;1;1
2022-2023;3.24;3.39;2.26;15;Clermont;Toulouse;2;0
2022-2023;3.20;3.45;2.28;15;Reims;Lens;1;1
2022-2023;3.61;3.75;2.01;15;Montpellier;Lille;1;3
2022-2023;10.72;6.86;1.25;15;Nantes;Paris SG;0;3
2022-2023;1.31;6.00;9.19;15;Lyon;Angers;5;0
2022-2023;4.20;3.80;1.86;15;Auxerre;Marseille;0;2
2022-2023;1.72;3.87;5.06;15;Lens;Lorient;5;2
2022-2023;2.06;3.48;3.77;15;Lille;Nice;1;2
2022-2023;1.36;5.32;8.42;15;Marseille;Clermont;1;0
2022-2023;1.54;4.39;6.10;15;Rennes;Brest;3;1
2022-2023;9.89;6.83;1.26;15;Toulouse;Paris SG;0;3
2022-2023;3.12;3.32;2.38;15;Angers;Reims;2;4
2022-2023;1.29;6.31;9.45;15;Lyon;Auxerre;2;1
2022-2023;1.32;5.79;9.18;15;Monaco;Troyes;2;4
2022-2023;2.19;3.19;3.70;15;Montpellier;AC Ajaccio;2;0
2022-2023;2.07;3.51;3.66;15;Strasbourg;Nantes;1;1
2022-2023;1.24;7.28;11.07;15;Paris SG;Monaco;1;1
2022-2023;4.14;4.01;1.80;15;Reims;Lyon;1;1
2022-2023;1.94;3.58;4.07;15;Brest;Montpellier;0;7
2022-2023;1.99;3.44;4.08;15;Lorient;Clermont;2;1
2022-2023;2.83;3.47;2.54;15;Nice;Marseille;0;3
2022-2023;2.37;3.28;3.20;15;Troyes;Angers;3;1
2022-2023;2.39;3.39;3.06;15;Nantes;Toulouse;3;1
2022-2023;2.33;3.49;3.06;15;Lens;Rennes;2;1
2022-2023;3.52;3.50;2.13;15;Auxerre;Strasbourg;1;0
2022-2023;3.26;3.18;2.38;15;AC Ajaccio;Lille;1;3
2022-2023;7.64;5.64;1.37;15;Lille;Paris SG;1;7
2022-2023;1.50;4.25;7.09;15;Rennes;AC Ajaccio;2;1
2022-2023;2.42;3.25;3.12;15;Angers;Brest;1;3
2022-2023;3.63;3.38;2.13;15;Clermont;Nice;1;0
2022-2023;1.95;3.58;4.05;15;Montpellier;Auxerre;1;2
2022-2023;1.89;3.66;4.20;15;Toulouse;Lorient;2;2
2022-2023;1.76;3.66;4.99;15;Strasbourg;Reims;1;1
2022-2023;1.63;4.14;5.42;15;Marseille;Nantes;2;1
2022-2023;1.82;3.96;4.27;15;Monaco;Lens;1;4
2022-2023;1.30;6.15;9.10;15;Lyon;Troyes;4;1
2022-2023;3.81;3.70;1.96;15;Brest;Marseille;1;1
2022-2023;2.20;3.33;3.53;15;Nice;Strasbourg;1;1
2022-2023;3.35;3.17;2.34;15;AC Ajaccio;Lens;0;0
2022-2023;2.43;3.26;3.12;15;Auxerre;Angers;2;2
2022-2023;2.02;3.28;4.14;15;Reims;Clermont;2;4
2022-2023;2.96;3.27;2.52;15;Troyes;Toulouse;0;3
2022-2023;1.06;15.46;29.97;15;Paris SG;Montpellier;5;2
2022-2023;2.10;3.63;3.54;15;Monaco;Rennes;1;1
2022-2023;3.19;3.35;2.34;15;Nantes;Lille;1;1
2022-2023;1.62;4.00;5.86;15;Marseille;Reims;4;1
2022-2023;1.48;4.72;6.50;15;Rennes;Lorient;0;1
2022-2023;3.14;3.24;2.41;15;Angers;Nantes;0;0
2022-2023;1.62;4.13;5.56;15;Lens;Brest;3;2
2022-2023;1.64;4.04;5.48;15;Lille;Auxerre;4;1
2022-2023;2.15;3.22;3.78;15;Montpellier;Troyes;3;2
2022-2023;2.54;3.28;2.92;15;Toulouse;Nice;1;1
2022-2023;11.63;6.65;1.25;15;Clermont;Paris SG;0;5
2022-2023;2.45;3.26;3.11;15;Strasbourg;Monaco;1;2
2022-2023;1.35;5.32;9.06;15;Lyon;AC Ajaccio;2;1
